index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
153,"[(0.1, 0.15), (0.0, 0.05), (0.85, 0.9)]",55,5,0.8333333333333334,48.75734370045416,2.896682893549496e-12
154,"[(0.05, 0.1), (0.4, 0.45), (0.45, 0.5)]",40,32,0.1111111111111111,0.8907269706175637,0.3452803817972925
155,"[(0.05, 0.1), (0.4, 0.45), (0.5, 0.55)]",26,25,0.0196078431372549,0.01960909976029679,0.8886343157395087
156,"[(0.05, 0.1), (0.35, 0.4), (0.5, 0.55)]",27,21,0.125,0.7519654352147553,0.3858546749197388
157,"[(0.05, 0.1), (0.35, 0.4), (0.55, 0.6)]",32,16,0.3333333333333333,5.4367691774527165,0.019717107759502972
158,"[(0.05, 0.1), (0.3, 0.35), (0.55, 0.6)]",36,13,0.46938775510204084,11.23208134287311,0.0008039543492939227
159,"[(0.05, 0.1), (0.3, 0.35), (0.6, 0.65)]",20,11,0.2903225806451613,2.650905460361335,0.10349093298411527
160,"[(0.05, 0.1), (0.25, 0.3), (0.6, 0.65)]",39,16,0.41818181818181815,9.920186995807597,0.001634757719995772
161,"[(0.05, 0.1), (0.25, 0.3), (0.65, 0.7)]",33,14,0.40425531914893614,7.905064697904287,0.004929657843263491
162,"[(0.05, 0.1), (0.2, 0.25), (0.65, 0.7)]",29,15,0.3181818181818182,4.532928276749998,0.03324867896131689
163,"[(0.05, 0.1), (0.2, 0.25), (0.7, 0.75)]",37,19,0.32142857142857145,5.889701604374508,0.01522968076750253
164,"[(0.05, 0.1), (0.15, 0.2), (0.7, 0.75)]",52,22,0.40540540540540543,12.519363608889128,0.0004027560477078973
165,"[(0.05, 0.1), (0.15, 0.2), (0.75, 0.8)]",33,8,0.6097560975609756,16.365723059827346,5.222113099401238e-05
166,"[(0.05, 0.1), (0.1, 0.15), (0.75, 0.8)]",55,6,0.8032786885245902,45.34510860547781,1.6520007584119867e-11
167,"[(0.05, 0.1), (0.1, 0.15), (0.8, 0.85)]",61,16,0.5844155844155844,28.048081381581245,1.1833837598729247e-07
168,"[(0.05, 0.1), (0.05, 0.1), (0.8, 0.85)]",92,8,0.84,,0.0
169,"[(0.05, 0.1), (0.05, 0.1), (0.85, 0.9)]",57,4,0.8688524590163934,55.035544021267185,1.1834977442504169e-13
170,"[(0.05, 0.1), (0.0, 0.05), (0.85, 0.9)]",79,6,0.8588235294117647,,0.0
171,"[(0.05, 0.1), (0.0, 0.05), (0.9, 0.95)]",118,5,0.9186991869918699,,0.0
172,"[(0.0, 0.05), (0.45, 0.5), (0.5, 0.55)]",19,13,0.1875,1.1316862789786888,0.2874159381960725
173,"[(0.0, 0.05), (0.4, 0.45), (0.5, 0.55)]",15,18,-0.09090909090909091,0.27310417749692617,0.6012570241250669
174,"[(0.0, 0.05), (0.4, 0.45), (0.55, 0.6)]",33,32,0.015384615384615385,0.015385222330261123,0.9012858359933794
175,"[(0.0, 0.05), (0.35, 0.4), (0.55, 0.6)]",32,26,0.10344827586206896,0.6218014778685882,0.43037863233708684
176,"[(0.0, 0.05), (0.35, 0.4), (0.6, 0.65)]",33,30,0.047619047619047616,0.14291118173700898,0.7054038857521692
177,"[(0.0, 0.05), (0.3, 0.35), (0.6, 0.65)]",14,20,-0.17647058823529413,1.0643887755641872,0.3022163371034091
178,"[(0.0, 0.05), (0.3, 0.35), (0.65, 0.7)]",20,10,0.3333333333333333,3.3979807359079506,0.06527628230888138
179,"[(0.0, 0.05), (0.25, 0.3), (0.65, 0.7)]",51,17,0.5,17.790436887994634,2.4661969057926392e-05
180,"[(0.0, 0.05), (0.25, 0.3), (0.7, 0.75)]",56,17,0.5342465753424658,21.961053014334976,2.782398208722725e-06
181,"[(0.0, 0.05), (0.2, 0.25), (0.7, 0.75)]",25,7,0.5625,10.740855106838422,0.0010479589882388396
182,"[(0.0, 0.05), (0.2, 0.25), (0.75, 0.8)]",53,20,0.4520547945205479,15.472643732771461,8.37080293616399e-05
183,"[(0.0, 0.05), (0.15, 0.2), (0.75, 0.8)]",55,18,0.5068493150684932,19.652443613920628,9.28844503966797e-06
184,"[(0.0, 0.05), (0.15, 0.2), (0.8, 0.85)]",50,18,0.47058823529411764,15.67065247927858,7.538485380309545e-05
185,"[(0.0, 0.05), (0.1, 0.15), (0.8, 0.85)]",35,9,0.5909090909090909,16.412670800779118,5.094355032209119e-05
186,"[(0.0, 0.05), (0.1, 0.15), (0.85, 0.9)]",49,13,0.5806451612903226,22.272659152683236,2.365508021684448e-06
187,"[(0.0, 0.05), (0.05, 0.1), (0.85, 0.9)]",78,12,0.7333333333333333,54.085088399830774,1.9195756095768957e-13
188,"[(0.0, 0.05), (0.05, 0.1), (0.9, 0.95)]",122,15,0.781021897810219,,0.0
189,"[(0.0, 0.05), (0.0, 0.05), (0.9, 0.95)]",72,2,0.9459459459459459,,0.0
190,"[(0.0, 0.05), (0.0, 0.05), (0.95, 1.0)]",298,8,0.9477124183006536,,0.0
